GEO_ID,State,County,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS17,Combined_Score
45001, South Carolina,Abbeville,0.591823839,3.35670159,17,34.1,
22001, Louisiana,Acadia,0.601998005,3.003941192,12.9,36.2,
51001, Virginia,Accomack,2.092269243,8.967943638,13.6,30.1,
16001, Idaho,Ada,4.313359991,0.682614946,7.5,29.3,
19001, Iowa,Adair,1.288695076,2.26978145,11.6,36.4,
21001, Kentucky,Adair,5.26353085,4.682255119,15.1,34.3,
29001, Missouri,Adair,9.10354895,3.299713402,9,32.5,
40001, Oklahoma,Adair,3.803321393,4.539647392,14.3,36.5,
8001, Colorado,Adams,5.626211317,0.707179412,7.2,22.6,
16003, Idaho,Adams,5.034363691,2.475442914,11.6,29.3,
17001, Illinois,Adams,3.171017875,1.157202745,10.1,31.1,
18001, Indiana,Adams,3.315535556,8.75615299,13.9,33.6,
19003, Iowa,Adams,1.289802956,0.2997713,10.1,36.4,
28001, Mississippi,Adams,13.33677915,4.83257954,13.9,37.3,
31001, Nebraska,Adams,9.291352735,2.003266429,10.8,32.8,
38001, North Dakota,Adams,6.882044847,0.851517854,10.5,33.2,
39001, Ohio,Adams,4.04875226,6.034843519,11.4,33.8,
42001, Pennsylvania,Adams,2.950435899,1.842945635,11.6,31.6,
53001, Washington,Adams,7.462801232,0.697854135,11,27.7,
55001, Wisconsin,Adams,3.327978493,2.287691063,12.8,32,
50001, Vermont,Addison,0.771649916,2.643694941,6.7,27.6,
45003, South Carolina,Aiken,7.277939815,3.191611913,12.8,34.1,
27001, Minnesota,Aitkin,11.775561,5.069552521,11.5,28.4,
12001, Florida,Alachua,6.427961527,2.064161037,8.3,28.4,
37001, North Carolina,Alamance,10.02074826,2.441776617,10.9,32.1,
6001, California,Alameda,1.002539499,0.247724305,8.5,25.1,
8003, Colorado,Alamosa,2.624448641,1.587643232,6.7,22.6,
36001, New York,Albany,4.779734781,1.988695286,9.8,25.7,
56001, Wyoming,Albany,14.1984089,1.214783534,6.9,28.8,
51003, Virginia,Albemarle,3.655561459,1.578579916,7.6,30.1,
26001, Michigan,Alcona,4.264405957,3.858597431,14,32.3,
28003, Mississippi,Alcorn,4.679153956,4.233957762,14.3,37.3,
2013, Alaska,Aleutians East,34.93750965,21.93798279,7.6,34.2,
2016, Alaska,Aleutians West,8.574047789,11.5099696,6.2,34.2,
17003, Illinois,Alexander,12.50765733,5.127756807,11.4,31.1,
37003, North Carolina,Alexander,2.954079163,3.08633878,11.6,32.1,
51510, Virginia,Alexandria,,,6.2,30.1,
40003, Oklahoma,Alfalfa,21.07413765,1.985594152,13.2,36.5,
26003, Michigan,Alger,14.03285646,4.150269554,11,32.3,
19005, Iowa,Allamakee,2.162304794,1.425498482,9.1,36.4,
26005, Michigan,Allegan,0.831520315,1.909392462,10.3,32.3,
24001, Maryland,Allegany,13.11713633,2.966187909,12.8,31.3,
36003, New York,Allegany,2.991699266,5.916984402,9.3,25.7,
37005, North Carolina,Alleghany,1.785754818,5.271228867,12.8,32.1,
